Country name,Population
Afghanistan,"38,972,236"
Albania,"2,866,850"
Algeria,"43,451,668"
American Samoa,"46,216"
Andorra,"77,723"
Angola,"33,428,490"
Anguilla,"15,612"
Antigua and Barbuda,"92,672"
Argentina,"45,036,033"
Armenia,"2,805,610"
Aruba,"106,597"
Australia,"25,670,053"
Austria,"8,907,780"
Azerbaijan,"10,284,952"
Bahamas,"406,478"
Bahrain,"1,477,478"
Bangladesh,"167,420,947"
Barbados,"280,704"
Belarus,"9,633,745"
Belgium,"11,561,716"
Belize,"394,931"
Benin,"12,643,121"
Bermuda,"64,051"
Bhutan,"772,512"
Bolivia,"11,936,169"
Bonaire Sint Eustatius and Saba,"26,178"
Bosnia and Herzegovina,"3,318,410"
Botswana,"2,546,404"
Brazil,"213,196,306"
British Virgin Islands,"30,934"
Brunei,"441,736"
Bulgaria,"6,979,181"
Burkina Faso,"21,522,632"
Burundi,"12,220,229"
Cambodia,"16,396,864"
Cameroon,"26,491,089"
Canada,"37,888,704"
Cape Verde,"582,646"
Cayman Islands,"67,327"
Central African Republic,"5,343,024"
Chad,"16,644,707"
Chile,"19,300,319"
China,"1,424,929,785"
Colombia,"50,930,657"
Comoros,"806,168"
Democratic repulic of Congo,"5,702,183"
Cook Islands,"17,050"
Costa Rica,"5,123,107"
Cote d'Ivoire,"26,811,791"
Croatia,"4,096,872"
Cuba,"11,300,695"
Curacao,"189,298"
Cyprus,"1,237,540"
Czech Republic,"10,530,951"
Democratic Republic of Congo,"92,853,170"
Denmark,"5,825,638"
Djibouti,"1,090,162"
Dominica,"72,011"
Dominican Republic,"10,999,668"
Ecuador,"17,588,595"
Egypt,"107,465,132"
El Salvador,"6,292,734"
Equatorial Guinea,"1,596,057"
Eritrea,"3,555,869"
Estonia,"1,329,449"
Eswatini,"1,180,663"
Ethiopia,"117,190,917"
Europe,"746,225,360"
Faeroe Islands,"52,440"
Falkland Islands,"3,764"
Fiji,"920,430"
Finland,"5,529,468"
France,"64,480,053"
French Guiana,"290,978"
French Polynesia,"301,935"
Gabon,"2,292,583"
Gambia,"2,574,005"
Georgia,"3,765,912"
Germany,"83,328,990"
Ghana,"32,180,402"
Gibraltar,"32,739"
Greece,"10,512,232"
Greenland,"56,049"
Grenada,"123,672"
Guadeloupe,"395,649"
Guam,"169,245"
Guatemala,"17,362,716"
Guernsey,"62,823"
Guinea,"13,205,157"
Guinea-Bissau,"2,015,839"
Guyana,"797,207"
Haiti,"11,306,804"
High-income countries,"1,244,106,768"
Honduras,"10,121,762"
Hong Kong,"7,500,955"
Hungary,"9,750,571"
Iceland,"366,682"
India,"1,396,387,128"
Indonesia,"271,857,974"
Iran,"87,290,192"
Iraq,"42,556,990"
Ireland,"4,946,123"
Isle of Man,"84,063"
Israel,"8,757,487"
Italy,"59,500,578"
Jamaica,"2,820,438"
Japan,"125,244,761"
Jersey,"108,332"
Jordan,"10,928,723"
Kazakhstan,"18,979,250"
Kenya,"51,985,780"
Kiribati,"126,473"
Kosovo,"1,670,702"
Kuwait,"4,360,451"
Kyrgyzstan,"6,424,880"
Laos,"7,319,397"
Latin America and the Caribbean,"651,836,123"
Latvia,"1,897,057"
Lebanon,"5,662,924"
Lesotho,"2,254,104"
Liberia,"5,087,591"
Libya,"6,653,946"
Liechtenstein,"38,783"
Lithuania,"2,820,269"
Low-income countries,"699,186,534"
Lower-middle-income countries,"3,356,047,539"
Luxembourg,"630,401"
Macao,"676,287"
Madagascar,"28,225,182"
Malawi,"19,377,057"
Malaysia,"33,199,989"
Maldives,"514,451"
Mali,"21,224,042"
Malta,"515,364"
Marshall Islands,"43,437"
Martinique,"370,399"
Mauritania,"4,498,605"
Mauritius,"1,297,830"
Mayotte,"305,591"
Mexico,"125,998,297"
Micronesia ,"112,119"
Moldova,"3,084,848"
Monaco,"36,943"
Mongolia,"3,294,340"
Montenegro,"629,058"
Montserrat,"4,526"
Morocco,"36,688,770"
Mozambique,"31,178,243"
Myanmar,"53,423,198"
Namibia,"2,489,099"
Nauru,"12,339"
Nepal,"29,348,626"
Netherlands,"17,434,562"
New Caledonia,"286,412"
New Zealand,"5,061,130"
Nicaragua,"6,755,900"
Niger,"24,333,644"
Nigeria,"208,327,402"
Niue,"1,963"
North Korea,"25,867,474"
North Macedonia,"2,111,078"
Northern Mariana Islands,"49,611"
Norway,"5,379,836"
Oceania,"43,933,424"
Oman,"4,543,406"
Pakistan,"227,196,743"
Palau,"17,999"
Palestine,"5,019,407"
Panama,"4,294,391"
Papua New Guinea,"9,749,641"
Paraguay,"6,618,700"
Peru,"33,304,768"
Philippines,"112,190,981"
Poland,"38,428,369"
Portugal,"10,298,186"
Puerto Rico,"3,271,570"
Qatar,"2,760,390"
Reunion,"957,829"
Romania,"19,442,040"
Russia,"145,617,333"
Rwanda,"13,146,367"
Saint Barthlemy,"10,706"
Saint Helena,"5,448"
Saint Kitts and Nevis,"47,666"
Saint Lucia,"179,245"
Saint Martin ,"32,577"
Saint Pierre and Miquelon,"5,930"
Saint Vincent and the Grenadines,"104,644"
Samoa,"214,934"
San Marino,"34,038"
Sao Tome and Principe,"218,650"
Saudi Arabia,"35,997,108"
Senegal,"16,436,120"
Serbia,"7,358,010"
Seychelles,"105,545"
Sierra Leone,"8,233,973"
Singapore,"5,909,874"
Sint Maarten ,"43,638"
Slovakia,"5,456,681"
Slovenia,"2,117,648"
Solomon Islands,"691,198"
Somalia,"16,537,018"
South Africa,"58,801,926"
South Korea,"51,844,687"
South Sudan,"10,606,224"
Spain,"47,363,807"
Sri Lanka,"21,715,076"
Sudan,"44,440,482"
Suriname,"607,068"
Sweden,"10,368,968"
Switzerland,"8,638,609"
Syria,"20,772,602"
Taiwan,"23,821,467"
Tajikistan,"9,543,211"
Tanzania,"61,704,521"
Thailand,"71,475,663"
East Timor,"1,299,998"
Togo,"8,442,583"
Tokelau,"1,845"
Tonga,"105,265"
Trinidad and Tobago,"1,518,142"
Tunisia,"12,161,720"
Turkey,"84,135,433"
Turkmenistan,"6,250,442"
Turks and Caicos Islands,"44,297"
Tuvalu,"11,090"
Uganda,"44,404,609"
Ukraine,"43,909,665"
United Arab Emirates,"9,287,286"
United Kingdom,"67,059,471"
United States of America,"335,942,003"
Virgin Island,"100,452"
Uruguay,"3,429,087"
Uzbekistan,"33,526,661"
Vanuatu,"311,694"
Venezuela,"28,490,459"
Vietnam,"96,648,683"
Wallis and Futuna,"11,679"
Western Sahara,"556,060"
World,"7,840,952,883"
Yemen,"32,284,043"
Zambia,"18,927,716"
Zimbabwe,"15,669,663"
Puerto Rico,"3,285,874"
